Product ID,Product Name,Category,Sub-Category,Stock_Actual,Stock_Minimo,Stock_Maximo,Costo_Unitario,Demanda_Diaria_Prom,Lead_Time_Proveedor,Valor_Inventario,Unidad,Valor_Acumulado,Pct_Acumulado,Clase_ABC,Stock_Seguridad,Punto_Reorden,Alerta,Unidades_Vendidas,Ingresos_Total,Num_Ordenes,Rotacion,Origen
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,204,10,100,612.44,0.01,14,124937.76,pza,6477901.13,0.14648119593330147,A,0.0,0.0,OK,17,7699.89,2,0.08,Real
TEC-PH-10000141,Clearsounds A400,Technology,Phones,182,10,100,684.33,0.01,15,124548.06,pza,6602449.1899999995,0.14929753233823398,A,0.0,0.0,OK,14,488.326,3,0.08,Real
TEC-PH-10004667,Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,187,10,100,663.88,0.01,3,124145.56,pza,6726594.749999999,0.1521047672332515,A,0.0,0.0,OK,18,2645.804,6,0.1,Real
TEC-MA-10003356,Panasonic KX MC6040 Color Laser Multifunction Printer,Technology,Machines,199,10,100,619.5,0.01,15,123280.5,pza,6849875.249999999,0.15489244100487254,A,0.0,0.0,OK,16,1619.82,2,0.08,Real
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",Furniture,Chairs,238,5,50,515.97,0.01,19,122800.86,pza,6972676.109999999,0.1576692689424175,A,0.0,0.0,OK,18,881.192,4,0.08,Real
TEC-PH-10000439,GE DSL Phone Line Filter,Technology,Phones,192,10,100,639.0,0.02,5,122688.0,pza,7095364.109999999,0.1604435448391947,A,0.0,0.0,OK,20,495.87600000000003,4,0.1,Real
TEC-AC-10001542,SanDisk Cruzer 16 GB USB Flash Drive,Technology,Accessories,218,10,100,562.66,0.02,15,122659.88,pza,7218023.989999999,0.16321718487396247,A,0.0,0.0,OK,21,107.912,3,0.1,Real
TEC-AC-10003709,Maxell 4.7GB DVD-R 5/Pack,Technology,Accessories,174,10,100,702.31,0.03,18,122201.94,pza,7340225.93,0.16598046976475386,A,0.0,1.0,OK,33,19.008,5,0.19,Real
TEC-MA-10003230,Okidata C610n Printer,Technology,Machines,174,10,100,701.76,0.0,9,122106.24,pza,7462332.17,0.16874159064436797,A,0.0,0.0,OK,6,1362.9,1,0.03,Real
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,Furniture,Bookcases,232,5,50,520.34,0.01,8,120718.88,pza,7583051.05,0.1714713399195207,A,0.0,0.0,OK,7,424.90000000000003,2,0.03,Real
TEC-MA-10001016,Canon PC170 Desktop Personal Copier,Technology,Machines,201,10,100,600.26,0.01,16,120652.26,pza,7703703.31,0.17419958275345473,A,0.0,0.0,OK,11,575.82,2,0.05,Real
TEC-PH-10001305,Panasonic KX TS208W Corded phone,Technology,Phones,204,10,100,589.73,0.02,11,120304.92,pza,7824008.2299999995,0.17691997138004995,A,0.0,0.0,OK,26,1185.558,5,0.13,Real
TEC-MA-10001972,Okidata C331dn Printer,Technology,Machines,160,10,100,750.86,0.02,11,120137.6,pza,7944145.829999999,0.17963657649201412,A,0.0,0.0,OK,22,3210.8,5,0.14,Real
TEC-AC-10004510,Logitech Desktop MK120 Mouse and keyboard Combo,Technology,Accessories,249,10,100,480.06,0.06,13,119534.94,pza,8063680.77,0.18233955398667304,A,0.0,1.0,OK,70,778.736,12,0.28,Real
TEC-AC-10001998,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,180,10,100,656.17,0.03,19,118110.6,pza,8181791.369999999,0.18501032366858075,A,0.0,1.0,OK,38,207.896,6,0.21,Real
TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,178,10,100,663.24,0.01,7,118056.72,pza,8299848.089999999,0.18767987499184444,A,0.0,0.0,OK,13,3059.7960000000003,5,0.07,Real
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,236,5,50,498.88,0.02,7,117735.68,pza,8417583.77,0.19034216681512525,A,0.0,0.0,OK,19,1119.195,5,0.08,Real
FUR-FU-10003623,"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,196,5,50,596.3,0.02,12,116874.8,pza,8534458.57,0.19298499203503805,A,0.0,0.0,OK,19,508.72800000000007,5,0.1,Real
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,Chairs,235,5,50,495.51,0.01,6,116444.85,pza,8650903.42,0.1956180950333658,A,0.0,0.0,OK,17,969.252,2,0.07,Real
FUR-FU-10001847,Eldon Image Series Black Desk Accessories,Furniture,Furnishings,220,5,50,529.04,0.01,12,116388.8,pza,8767292.22,0.1982499306040396,A,0.0,0.0,OK,18,48.852,5,0.08,Real
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,234,5,50,491.14,0.03,13,114926.76,pza,8882218.98,0.20084870587271053,A,0.0,0.0,OK,41,8430.997,8,0.18,Real
TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,Accessories,199,10,100,575.58,0.04,11,114540.42,pza,8996759.4,0.20343874504860987,A,0.0,0.0,OK,53,1489.334,9,0.27,Real
TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Technology,Phones,207,10,100,551.89,0.02,20,114241.23,pza,9111000.63,0.20602201880649315,A,0.0,0.0,OK,23,2221.596,4,0.11,Real
TEC-PH-10001644,"BlueLounge Milo Smartphone Stand, White/Metallic",Technology,Phones,241,10,100,472.59,0.01,11,113894.19,pza,9224894.82,0.20859744514077166,A,0.0,0.0,OK,12,335.888,3,0.05,Real
FUR-FU-10001473,DAX Wood Document Frame,Furniture,Furnishings,217,5,50,524.13,0.06,3,113736.21,pza,9338631.030000001,0.21116929916067415,A,0.0,0.0,OK,72,839.6759999999999,14,0.33,Real
FUR-TA-10002533,BPI Conference Tables,Furniture,Tables,211,5,50,537.99,0.03,20,113515.89,pza,9452146.920000002,0.21373617120625493,A,0.0,1.0,OK,33,2241.8675,5,0.16,Real
TEC-PH-10004071,PayAnywhere Card Reader,Technology,Phones,195,10,100,577.23,0.02,5,112559.85,pza,9564706.770000001,0.21628142484801172,A,0.0,0.0,OK,25,199.8,5,0.13,Real
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,243,5,50,460.94,0.01,16,112008.42,pza,9676715.190000001,0.21881420930812273,A,0.0,0.0,OK,15,2207.956,2,0.06,Real
TEC-PH-10002597,Xblue XB-1670-86 X16 SmallÂ Office TelephoneÂ - Titanium,Technology,Phones,201,10,100,555.15,0.01,14,111585.15,pza,9788300.340000002,0.22133742259779468,A,0.0,0.0,OK,16,604.752,2,0.08,Real
TEC-AC-10003832,LogitechÂ P710e Mobile Speakerphone,Technology,Accessories,240,10,100,463.84,0.07,16,111321.6,pza,9899621.940000001,0.22385467637706138,A,1.0,2.0,OK,83,11203.756,18,0.35,Real
TEC-PH-10002350,Apple EarPods with Remote and Mic,Technology,Phones,180,10,100,614.8,0.02,10,110664.0,pza,10010285.940000001,0.22635706021118496,A,0.0,0.0,OK,21,251.91,4,0.12,Real
TEC-MA-10003183,DYMO CardScan Personal V9 Business Card Scanner,Technology,Machines,192,10,100,572.82,0.01,17,109981.44,pza,10120267.38,0.22884400969348842,A,0.0,0.0,OK,15,1343.9160000000002,3,0.08,Real
TEC-PH-10002085,Clarity 53712,Technology,Phones,185,10,100,594.04,0.01,14,109897.4,pza,10230164.780000001,0.23132905882574656,A,0.0,0.0,OK,18,752.2860000000001,4,0.1,Real
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,206,5,50,533.43,0.03,18,109886.58,pza,10340051.360000001,0.2338138632913282,A,0.0,1.0,OK,40,8774.5,8,0.19,Real
TEC-PH-10001557,Pyle PMP37LED,Technology,Phones,148,10,100,739.95,0.03,16,109512.6,pza,10449563.96,0.2362902111539831,A,0.0,0.0,OK,42,3590.026,10,0.28,Real
TEC-PH-10000193,Jensen SMPS-640 -Â speaker phone,Technology,Phones,148,10,100,738.11,0.01,8,109240.28,pza,10558804.24,0.23876040119507264,A,0.0,0.0,OK,16,496.584,4,0.11,Real
TEC-PH-10001198,Avaya 4621SW VoIP phone,Technology,Phones,239,10,100,456.05,0.02,4,108995.95,pza,10667800.19,0.24122506633698815,A,0.0,0.0,OK,20,709.92,4,0.08,Real
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,246,5,50,442.1,0.03,10,108756.6,pza,10776556.79,0.24368431918971573,A,0.0,0.0,OK,32,7539.7122,8,0.13,Real
FUR-TA-10004575,Hon 5100 Series Wood Tables,Furniture,Tables,184,5,50,587.94,0.03,17,108180.96,pza,10884737.75,0.2461305554134558,A,0.0,1.0,OK,31,5965.09,7,0.17,Real
FUR-FU-10002963,"Master Caster Door Stop, Gray",Furniture,Furnishings,191,5,50,560.15,0.01,18,106988.65,pza,10991726.4,0.2485498305905207,A,0.0,0.0,OK,18,47.752,4,0.09,Real
TEC-PH-10002075,AT&T EL51110 DECT,Technology,Phones,136,10,100,784.74,0.0,8,106724.64,pza,11098451.040000001,0.2509631358554547,A,0.0,0.0,OK,5,377.97,1,0.04,Real
TEC-PH-10002645,LG G2,Technology,Phones,219,10,100,486.77,0.01,16,106602.63,pza,11205053.670000002,0.25337368217573103,A,0.0,0.0,OK,9,1499.97,1,0.04,Real
TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,Technology,Phones,200,10,100,532.9,0.02,5,106580.0,pza,11311633.670000002,0.2557837167763319,A,0.0,0.0,OK,24,1221.812,5,0.12,Real
FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Furnishings,213,5,50,498.66,0.02,12,106214.58,pza,11417848.250000002,0.25818548833655225,A,0.0,0.0,OK,28,910.404,6,0.13,Real
TEC-AC-10000474,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,228,10,100,463.74,0.03,11,105732.72,pza,11523580.970000003,0.26057636386306415,A,0.0,0.0,OK,34,1690.8220000000001,6,0.15,Real
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,185,10,100,569.91,0.03,12,105433.35,pza,11629014.320000002,0.26296046990131955,A,0.0,0.0,OK,39,1414.23,9,0.21,Real
FUR-TA-10004256,Bretford âJust In Timeâ Height-Adjustable Multi-Task Work Tables,Furniture,Tables,237,5,50,444.65,0.02,4,105382.05,pza,11734396.370000003,0.26534341592104416,A,0.0,0.0,OK,20,5634.9,4,0.08,Real
TEC-PH-10000148,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,Technology,Phones,221,10,100,475.84,0.01,4,105160.64,pza,11839557.010000004,0.26772135531887986,A,0.0,0.0,OK,18,119.508,5,0.08,Real
TEC-PH-10000376,Square Credit Card Reader,Technology,Phones,158,10,100,660.73,0.03,16,104395.34,pza,11943952.350000003,0.2700819894110312,A,0.0,0.0,OK,37,173.826,7,0.23,Real
FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,188,5,50,555.27,0.03,11,104390.76,pza,12048343.110000003,0.2724425199381753,A,0.0,0.0,OK,31,467.712,6,0.16,Real
TEC-PH-10004241,Nokia Lumia 1020,Technology,Phones,181,10,100,576.44,0.0,9,104335.64,pza,12152678.750000004,0.2748018040672411,A,0.0,0.0,OK,1,1439.968,1,0.01,Real
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,195,5,50,533.17,0.03,12,103968.15,pza,12256646.900000004,0.27715277834816116,A,0.0,0.0,OK,38,6410.874,8,0.19,Real
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,217,10,100,478.26,0.01,11,103782.42,pza,12360429.320000004,0.27949955281930106,A,0.0,0.0,OK,9,6965.700000000001,2,0.04,Real
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,243,10,100,426.18,0.01,20,103561.74,pza,12463991.060000004,0.2818413371756383,A,0.0,0.0,OK,11,1000.728,3,0.05,Real
FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",Furniture,Furnishings,240,5,50,431.28,0.02,11,103507.2,pza,12567498.260000004,0.28418188824911655,A,0.0,0.0,OK,29,1469.1599999999999,7,0.12,Real
TEC-PH-10002200,Aastra 6757i CT Wireless VoIP phone,Technology,Phones,154,10,100,670.2,0.04,10,103210.8,pza,12670709.060000004,0.28651573699330585,A,0.0,0.0,OK,46,7437.886,8,0.3,Real
TEC-AC-10000865,WD My Passport Ultra 500GB Portable External Hard Drive,Technology,Accessories,131,10,100,787.59,0.01,10,103174.29,pza,12773883.350000003,0.28884876015705535,A,0.0,0.0,OK,15,708.0,4,0.11,Real
TEC-MA-10003493,Penpower WorldCard Pro Card Scanner,Technology,Machines,245,10,100,420.49,0.0,7,103020.05,pza,12876903.400000004,0.29117829557698055,A,0.0,0.0,OK,3,91.475,1,0.01,Real
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,141,10,100,730.55,0.02,13,103007.55,pza,12979910.950000005,0.29350754834131837,A,0.0,0.0,OK,24,2116.688,4,0.17,Real
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,195,10,100,524.31,0.01,10,102240.45,pza,13082151.400000004,0.2958194550975672,A,0.0,0.0,OK,17,1538.886,3,0.09,Real
FUR-TA-10004619,Hon Non-Folding Utility Tables,Furniture,Tables,179,5,50,570.98,0.02,8,102205.42,pza,13184356.820000004,0.2981305697397978,A,0.0,0.0,OK,19,3775.647,5,0.11,Real
FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,242,5,50,420.78,0.03,11,101828.76,pza,13286185.580000004,0.30043316717774377,A,0.0,0.0,OK,37,1579.3719999999998,7,0.15,Real
TEC-AC-10001142,First Data FD10 PIN Pad,Technology,Accessories,219,10,100,463.82,0.03,7,101576.58,pza,13387762.160000004,0.30273006220880677,A,0.0,0.0,OK,33,1722.2,5,0.15,Real
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,153,10,100,662.48,0.01,15,101359.44,pza,13489121.600000003,0.3050220471731296,A,0.0,0.0,OK,14,6399.872,4,0.09,Real
TEC-AC-10003095,Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,201,10,100,499.23,0.02,19,100345.23,pza,13589466.830000004,0.30729109836758683,A,0.0,0.0,OK,28,2157.8340000000003,6,0.14,Real
TEC-AC-10001990,Kensington Orbit Wireless Mobile Trackball for PC and Mac,Technology,Accessories,195,10,100,510.73,0.01,19,99592.35,pza,13689059.180000003,0.3095431251029513,A,0.0,0.0,OK,18,1511.748,4,0.09,Real
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,167,5,50,589.32,0.04,15,98416.44,pza,13787475.620000003,0.3117685616357713,A,0.0,1.0,OK,47,4952.673,9,0.28,Real
TEC-AC-10000420,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Technology,Accessories,190,10,100,517.18,0.02,3,98264.2,pza,13885739.820000002,0.31399055564966094,A,0.0,0.0,OK,25,1399.8,4,0.13,Real
TEC-AC-10001465,SanDisk Cruzer 64 GB USB Flash Drive,Technology,Accessories,168,10,100,580.4,0.02,5,97507.2,pza,13983247.020000001,0.3161954320411763,A,0.0,0.0,OK,29,1184.032,9,0.17,Real
FUR-FU-10002703,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",Furniture,Furnishings,200,5,50,485.59,0.0,16,97118.0,pza,14080365.020000001,0.31839150766832164,A,0.0,0.0,OK,3,180.46,2,0.02,Real
TEC-PH-10004833,Macally Suction Cup Mount,Technology,Phones,130,10,100,741.35,0.01,14,96375.5,pza,14176740.520000001,0.3205707935535741,A,0.0,0.0,OK,11,279.63,4,0.08,Real
FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs,164,5,50,581.58,0.02,9,95379.12,pza,14272119.64,0.3227275488488908,A,0.0,0.0,OK,21,4185.48,5,0.13,Real
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,170,5,50,558.43,0.0,15,94933.1,pza,14367052.74,0.3248742185405994,A,0.0,0.0,OK,6,400.0268,2,0.04,Real
TEC-PH-10000675,Panasonic KX TS3282B Corded phone,Technology,Phones,182,10,100,520.35,0.01,3,94703.7,pza,14461756.44,0.3270157009369676,A,0.0,0.0,OK,8,590.328,3,0.04,Real
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,189,5,50,500.88,0.02,19,94666.32,pza,14556422.76,0.3291563380800671,A,0.0,0.0,OK,22,36.396,4,0.12,Real
TEC-PH-10003171,Plantronics Encore H101 Dual EarpiecesÂ Headset,Technology,Phones,161,10,100,587.16,0.04,9,94532.76,pza,14650955.52,0.3312939551047462,A,0.0,0.0,OK,46,746.17,7,0.29,Real
TEC-AC-10000290,Sabrent 4-Port USB 2.0 Hub,Technology,Accessories,218,10,100,432.64,0.02,7,94315.52,pza,14745271.04,0.3334266598014403,A,0.0,0.0,OK,23,96.418,4,0.11,Real
TEC-AC-10004666,MaxellÂ iVDR EX 500GB Cartridge,Technology,Accessories,123,10,100,765.24,0.01,12,94124.52,pza,14839395.559999999,0.3355550455207586,A,0.0,0.0,OK,9,2755.4,2,0.07,Real
TEC-MA-10003337,Okidata B401 Printer,Technology,Machines,127,10,100,738.51,0.0,6,93790.77,pza,14933186.329999998,0.33767588433589274,A,0.0,0.0,OK,1,179.991,1,0.01,Real
