Product ID,Product Name,Category,Sub-Category,Stock_Actual,Stock_Minimo,Stock_Maximo,Costo_Unitario,Demanda_Diaria_Prom,Lead_Time_Proveedor,Valor_Inventario,Unidad
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,118,30,300,52.43,0.01,3,6186.74,pza
OFF-AR-10003056,Newell 341,Office Supplies,Art,212,30,300,72.48,0.04,20,15365.76,pza
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,60,10,100,731.47,0.0,19,43888.2,pza
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,180,30,300,9.18,0.03,12,1652.4,pza
OFF-AR-10000246,Newell 318,Office Supplies,Art,217,30,300,30.44,0.02,11,6605.48,pza
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,142,30,300,63.87,0.04,10,9069.54,pza
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,45,5,50,445.64,0.02,17,20053.8,pza
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,108,30,300,4.06,0.03,15,438.48,pza
TEC-AC-10003027,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,Technology,Accessories,215,10,100,376.41,0.01,19,80928.15,pza
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,103,5,50,511.21,0.03,11,52654.63,pza
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,63,30,300,59.54,0.03,13,3751.02,pza
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,160,5,50,294.16,0.05,6,47065.6,pza
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,126,30,300,59.34,0.04,9,7476.84,pza
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,124,30,300,44.99,0.03,5,5578.76,pza
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,45,30,300,73.19,0.03,12,3293.55,pza
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,70,30,300,47.8,0.03,5,3346.0,pza
OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,183,30,300,33.26,0.03,3,6086.58,pza
TEC-PH-10004977,GE 30524EE4,Technology,Phones,66,10,100,694.45,0.03,16,45833.7,pza
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,162,5,50,105.93,0.01,15,17160.66,pza
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,44,30,300,72.24,0.01,7,3178.56,pza
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,246,5,50,442.1,0.03,10,108756.6,pza
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,44,5,50,569.12,0.03,14,25041.28,pza
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,201,10,100,222.89,0.01,8,44800.89,pza
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,106,10,100,565.09,0.02,4,59899.54,pza
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,194,30,300,65.14,0.02,6,12637.16,pza
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,238,30,300,56.76,0.01,7,13508.88,pza
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,19,10,100,191.96,0.02,13,3647.24,pza
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,128,30,300,23.5,0.05,15,3008.0,pza
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,232,30,300,46.21,0.02,10,10720.72,pza
TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,135,10,100,374.0,0.03,7,50490.0,pza
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,28,10,100,596.04,0.03,8,16689.12,pza
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,173,30,300,31.54,0.02,17,5456.42,pza
OFF-LA-10002762,Avery 485,Office Supplies,Labels,195,30,300,69.04,0.05,18,13462.8,pza
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,52,5,50,304.6,0.04,13,15839.2,pza
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,193,5,50,100.82,0.04,9,19458.26,pza
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,52,30,300,3.35,0.04,8,174.2,pza
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,51,10,100,527.99,0.01,14,26927.49,pza
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,188,30,300,44.16,0.03,6,8302.08,pza
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,109,30,300,44.33,0.02,16,4831.97,pza
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,117,5,50,490.8,0.02,13,57423.6,pza
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,249,30,300,31.31,0.02,14,7796.19,pza
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,208,30,300,79.64,0.02,4,16565.12,pza
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,12,30,300,75.75,0.03,13,909.0,pza
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,210,10,100,39.98,0.04,15,8395.8,pza
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,22,30,300,71.87,0.03,13,1581.14,pza
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,112,30,300,55.08,0.01,11,6168.96,pza
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,242,5,50,341.09,0.03,18,82543.78,pza
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,88,5,50,383.03,0.05,7,33706.64,pza
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,155,30,300,67.66,0.01,14,10487.3,pza
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,201,10,100,762.3,0.03,5,153222.3,pza
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,69,30,300,45.71,0.01,18,3153.99,pza
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,113,30,300,16.14,0.06,19,1823.82,pza
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,50,30,300,51.9,0.03,13,2595.0,pza
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,70,5,50,119.63,0.04,20,8374.1,pza
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,84,5,50,410.27,0.03,11,34462.68,pza
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,201,30,300,65.07,0.02,15,13079.07,pza
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,154,30,300,29.56,0.02,8,4552.24,pza
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,197,5,50,117.02,0.01,5,23052.94,pza
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,144,30,300,55.99,0.04,14,8062.56,pza
FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,151,5,50,256.45,0.01,11,38723.95,pza
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,154,30,300,21.43,0.03,11,3300.22,pza
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,187,30,300,55.76,0.02,17,10427.12,pza
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,110,30,300,77.63,0.02,3,8539.3,pza
OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,240,30,300,60.14,0.01,20,14433.6,pza
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,130,30,300,40.33,0.02,17,5242.9,pza
OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,194,30,300,48.84,0.03,10,9474.96,pza
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,183,5,50,153.99,0.03,13,28180.17,pza
TEC-AC-10001998,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,180,10,100,656.17,0.03,19,118110.6,pza
OFF-LA-10000134,Avery 511,Office Supplies,Labels,149,30,300,49.14,0.02,16,7321.86,pza
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,17,30,300,77.33,0.04,7,1314.61,pza
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,235,30,300,78.4,0.01,4,18424.0,pza
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,32,30,300,29.66,0.02,17,949.12,pza
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,127,30,300,79.11,0.02,18,10046.97,pza
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,71,5,50,577.55,0.03,15,41006.05,pza
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,9,30,300,51.91,0.05,9,467.19,pza
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,104,30,300,28.01,0.03,19,2913.04,pza
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,192,5,50,471.74,0.03,9,90574.08,pza
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,147,30,300,23.16,0.02,14,3404.52,pza
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,85,30,300,51.13,0.04,15,4346.05,pza
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,48,30,300,3.92,0.01,15,188.16,pza
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,123,10,100,514.01,0.03,16,63223.23,pza
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,50,30,300,76.23,0.03,17,3811.5,pza
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,161,30,300,20.34,0.02,4,3274.74,pza
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,72,10,100,629.2,0.03,8,45302.4,pza
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,132,5,50,232.58,0.03,11,30700.56,pza
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,228,30,300,57.21,0.02,17,13043.88,pza
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,53,10,100,568.98,0.02,18,30155.94,pza
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,175,10,100,172.25,0.02,4,30143.75,pza
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,106,30,300,48.58,0.02,5,5149.48,pza
TEC-AC-10000844,LogitechÂ Gaming G510s - Keyboard,Technology,Accessories,200,10,100,691.56,0.03,10,138312.0,pza
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,81,5,50,278.92,0.02,10,22592.52,pza
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,24,30,300,57.4,0.04,9,1377.6,pza
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,115,30,300,54.61,0.03,13,6280.15,pza
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,150,30,300,22.09,0.03,15,3313.5,pza
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,196,30,300,73.65,0.03,10,14435.4,pza
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,181,30,300,45.95,0.02,11,8316.95,pza
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,119,30,300,29.71,0.04,18,3535.49,pza
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,174,5,50,165.47,0.02,7,28791.78,pza
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,233,30,300,38.93,0.04,16,9070.69,pza
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,16,5,50,459.66,0.01,3,7354.56,pza
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,221,30,300,50.64,0.02,19,11191.44,pza
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,226,30,300,58.71,0.03,16,13268.46,pza
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,83,10,100,639.66,0.02,15,53091.78,pza
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,123,5,50,309.32,0.03,10,38046.36,pza
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Furniture,Tables,40,5,50,350.49,0.02,5,14019.6,pza
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,12,30,300,78.94,0.05,3,947.28,pza
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,32,30,300,77.51,0.03,17,2480.32,pza
FUR-CH-10001146,"Global Task Chair, Black",Furniture,Chairs,120,5,50,295.7,0.05,10,35484.0,pza
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,90,5,50,436.29,0.01,11,39266.1,pza
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,192,10,100,236.04,0.03,15,45319.68,pza
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,53,30,300,13.91,0.05,14,737.23,pza
OFF-FA-10002780,Staples,Office Supplies,Fasteners,170,30,300,61.94,0.02,11,10529.8,pza
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,84,30,300,36.02,0.03,13,3025.68,pza
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,190,30,300,15.81,0.02,7,3003.9,pza
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,9,30,300,61.19,0.02,20,550.71,pza
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,50,30,300,73.38,0.03,13,3669.0,pza
OFF-BI-10004781,GBC Wire Binding Strips,Office Supplies,Binders,102,30,300,74.8,0.02,13,7629.6,pza
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,245,30,300,48.51,0.04,8,11884.95,pza
OFF-AR-10000940,Newell 343,Office Supplies,Art,106,30,300,39.41,0.04,3,4177.46,pza
OFF-EN-10004030,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,207,30,300,13.07,0.03,11,2705.49,pza
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,6,30,300,63.84,0.01,9,383.04,pza
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,221,30,300,75.74,0.02,8,16738.54,pza
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,29,5,50,542.52,0.02,12,15733.08,pza
TEC-PH-10000215,Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C,Technology,Phones,5,10,100,608.87,0.01,7,3044.35,pza
TEC-PH-10001448,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,227,10,100,33.52,0.01,3,7609.04,pza
OFF-BI-10002735,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,201,30,300,33.8,0.03,17,6793.8,pza
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,172,30,300,34.04,0.0,7,5854.88,pza
TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo CordedÂ Headset,Technology,Phones,72,10,100,718.66,0.01,8,51743.52,pza
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,247,30,300,7.12,0.01,7,1758.64,pza
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,73,30,300,43.44,0.03,19,3171.12,pza
OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,201,30,300,12.62,0.03,20,2536.62,pza
OFF-AR-10001547,Newell 311,Office Supplies,Art,20,30,300,53.66,0.03,6,1073.2,pza
OFF-LA-10002475,Avery 519,Office Supplies,Labels,186,30,300,63.8,0.03,4,11866.8,pza
TEC-PH-10004536,Avaya 5420 Digital phone,Technology,Phones,195,10,100,524.31,0.01,10,102240.45,pza
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,22,30,300,63.98,0.01,7,1407.56,pza
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,111,10,100,497.77,0.02,6,55252.47,pza
OFF-EN-10001990,Staple envelope,Office Supplies,Envelopes,21,30,300,16.81,0.03,16,353.01,pza
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,129,30,300,31.85,0.02,6,4108.65,pza
OFF-AR-10004441,BIC Brite Liner Highlighters,Office Supplies,Art,231,30,300,76.64,0.02,10,17703.84,pza
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,86,10,100,251.89,0.01,5,21662.54,pza
OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,8,30,300,6.9,0.03,16,55.2,pza
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,119,5,50,280.11,0.05,20,33333.09,pza
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,99,30,300,30.57,0.02,14,3026.43,pza
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,99,30,300,38.68,0.02,17,3829.32,pza
TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,141,10,100,461.43,0.03,11,65061.63,pza
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6â x 11â",Office Supplies,Paper,35,30,300,79.41,0.02,4,2779.35,pza
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,137,30,300,60.99,0.03,3,8355.63,pza
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,232,5,50,98.66,0.05,17,22889.12,pza
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,20,30,300,57.59,0.02,17,1151.8,pza
OFF-LA-10003148,Avery 51,Office Supplies,Labels,46,30,300,66.29,0.02,10,3049.34,pza
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,173,30,300,71.86,0.02,5,12431.78,pza
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,212,5,50,300.48,0.03,4,63701.76,pza
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,216,30,300,26.46,0.02,6,5715.36,pza
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,34,30,300,67.47,0.02,20,2293.98,pza
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,30,30,300,62.65,0.03,14,1879.5,pza
TEC-AC-10004659,ImationÂ Secure+ Hardware Encrypted USB 2.0Â Flash Drive; 16GB,Technology,Accessories,181,10,100,442.75,0.03,20,80137.75,pza
TEC-PH-10003273,AT&T TR1909W,Technology,Phones,35,10,100,120.77,0.01,12,4226.95,pza
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,54,10,100,531.86,0.03,10,28720.44,pza
TEC-AC-10002345,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,147,10,100,80.56,0.02,20,11842.32,pza
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,56,30,300,9.83,0.04,19,550.48,pza
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,237,10,100,284.98,0.04,8,67540.26,pza
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,170,30,300,30.95,0.03,16,5261.5,pza
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,42,5,50,320.23,0.02,7,13449.66,pza
TEC-PH-10001552,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,239,10,100,291.14,0.04,10,69582.46,pza
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,192,30,300,4.64,0.02,10,890.88,pza
OFF-AR-10003514,4009 Highlighters by Sanford,Office Supplies,Art,24,30,300,14.28,0.03,20,342.72,pza
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,103,30,300,10.98,0.02,11,1130.94,pza
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,219,30,300,35.63,0.01,16,7802.97,pza
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,48,30,300,18.55,0.01,16,890.4,pza
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,115,30,300,24.9,0.04,16,2863.5,pza
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,235,30,300,38.78,0.02,19,9113.3,pza
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,93,30,300,20.37,0.02,4,1894.41,pza
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,67,5,50,207.88,0.01,16,13927.96,pza
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,Appliances,122,30,300,66.99,0.02,14,8172.78,pza
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,182,30,300,44.75,0.01,18,8144.5,pza
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,154,5,50,525.51,0.03,8,80928.54,pza
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,Technology,Phones,243,10,100,426.18,0.01,20,103561.74,pza
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,76,30,300,72.92,0.02,9,5541.92,pza
TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Phones,58,10,100,226.15,0.03,4,13116.7,pza
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,141,30,300,50.1,0.02,15,7064.1,pza
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,147,30,300,41.25,0.05,10,6063.75,pza
TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,Technology,Accessories,52,10,100,737.39,0.03,14,38344.28,pza
OFF-LA-10004544,Avery 505,Office Supplies,Labels,152,30,300,34.64,0.03,3,5265.28,pza
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,167,5,50,524.51,0.03,11,87593.17,pza
TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,Technology,Machines,105,10,100,464.21,0.01,10,48742.05,pza
